courseId,id,subType,optionCount,subDescript,option0,option1,option2,option3,answer
444,82152,单选题,4,下列选项中（）是民族区域自治制度的核心内容。,自由权,自治权,民族平等,资源共享,B
444,82015,单选题,4,中央民族工作会议指出，要根据不同地区、不同民族实际，以（）为原则，突出区域化和精确性，更多针对特定地区、特殊问题、特别事项制定实施差别化区域支持政策。,科学有序,公平合理,公平公正,合理运行,C
444,82099,单选题,4,习近平总书记强调，要加强民族地区基层组织建设，发挥基层组织在民族工作中的重要作用。以下哪项不属于民族地区基层组织的职责。,宣传党的民族政策,维护社会稳定,组织经济建设活动,制定国家法律法规,D
444,82077,单选题,4,党的二十大以后，全国各族人民迈上了以中国式现代化全面推进强国建设、民族复兴伟业的新征程，党的民族工作面临新的形势和任务，呈现新的（）特征，铸牢中华民族共同体意识正在从单项突破迈向系统推进。,阶段性,时间性,空间性,层次性,A
444,82126,单选题,4,以下选项中，民族的传统节日是“火把节”的少数民族是？（）,彝族,傣族,藏族,哈尼族,A
444,81909,单选题,3,塞罕坝精神是中国共产党人精神谱系的组成部分。塞罕坝林场位于我省（）,围场满族蒙古族自治县,丰宁满族自治县,青龙满族自治县,,A
444,82003,单选题,4,新时代党的民族工作的“纲”是（）。,铸牢中华民族共同体意识,民族团结一家亲和民族团结联谊活动,民族团结进步创建,核心价值观,A
444,82114,单选题,4,以下选项中，能够作为蒙古族的传统节日是？（）,那达慕大会,古尔邦节,火把节,沐浴节,A
444,81862,单选题,4,中央民族工作会议指出，推动各民族坚定对伟大祖国、中华民族、（）、中国共产党、中国特色社会主义的高度认同，不断推进中华民族共同体意识。,中国道路,中国文化,中华文化,中国方案,C
444,81910,单选题,3,歌曲《爱我中华》是为第（）届全国少数民族传统体育运动会创作的会歌。,四,五,六,,A
444,82083,单选题,4,习近平总书记提到：全面推广普及国家通用语言文字，全面推行使用（）教材，以语言相通促进心灵相通、命运相通。,地方,少数民族,国家统编,国际统一,C
444,82053,单选题,4,2021年中央民族工作会议标志着铸牢中华民族共同体意识工作进入（）阶段。,初步发展,深入推进,停滞不前,快速发展,B
444,82145,单选题,4,下列选项中（）是“民族”一词最早出现的地方。,印度,希腊,埃及,古罗马,B
444,82133,单选题,4,以下选项中，少数民族最多的省份是？（）,宁夏,山东,河南,云南,D
444,82035,单选题,4,2021年召开的第五次中央民族工作会议指出，筑牢中华民族共同体意识是维护各民族根本利益，实现中华民族的伟大复兴，巩固和发展平等团结互助和谐的社会主义新型民族关系，（）的必然要求。,坚持民族区域自治制度,各民族团结一心,党的民族工作开创新局面,坚持各民族平等,C
444,81274,单选题,4,共同为实现中华民族伟大复兴的中国梦而奋斗，这个梦想凝聚了几代中国人的夙愿，体现了中华民族和中国人民的整体利益，是每一个中华儿女的（）。,最大愿望,最大梦想,共同愿望,共同期盼,D
444,81839,单选题,4,习近平总书记在中央政治局第九次集体学习时强调：“把铸牢中华民族共同体意识作为党的民族工作和民族地区各项工作的（），不断加强和改进党的民族工作，扎实推进民族团结进步事业，推进新时代党的民族工作高质量发展。,中心任务,重点,主线,根本,C
444,82131,单选题,4,以下选项中，能够作为新时期我国民族工作的主题是？（）,各民族共同团结奋斗，共同繁荣发展,民族团结一家亲，同心共筑中国梦,共建民族团结路，携手戮力同心行,坚持民族团结，维护祖国统一,A
