question,options,right_answer
"根据《中华人民共和国数据安全法》规定,国家支持有关部门、行业组织、企业、教育和科研机构、有关专业机构等在数据安全风险控制、防范、处置等方面开展协作.()","['正确', '错误']",['错误']
"()年12月26日,中华人民共和国第十三届全国人民代表大会常务委员会第二十四次会议修订通过《中华人民共和国国防法》.","['2019', '2020', '2021', '2022']",['2020']
"出于个人喜好、炫耀实力、博人眼球、吸引流量等各种目的,一些军事发烧友尤其是资深发烧友热衷于搜集、整理涉军敏感信息,并在发烧友群体内部交流,或者发布在自媒体和社交媒体账号,或者发布在各类军事论坛网站,极易造成军事秘密广泛传播.","['正确', '错误']",['正确']
"历经数十年的发展完善,中国已逐步形成以()为根本、以反恐怖主义法为主体、刑事法律为骨干、国家安全法为保障、其他法律为补充,涵盖行政法规、司法解释、地方性法规、部门规章与地方性政府规章的反恐怖主义法律制度体系,符合我国实际和国际惯例,为依法打击暴恐活动、维护国家安全、公共安全和人民生命财产安全提供了有力法律支持和保障,取得了良好的实践效果.","['国家安全法', '教育法', '宪法', '国际法']",['宪法']
"根据《中华人民共和国国防法》规定,保卫祖国、抵抗侵略是中华人民共和国每一个公民的神圣职责.()","['正确', '错误']",['正确']
"国家秘密是关系国家安全和利益,依据法律程序规定,在一定时间内只限一定范围的人员知悉的事项.","['正确', '错误']",['正确']
"维护国家安全,应当坚持()为主、标本兼治,专门工作与群众路线相结合.","['预防', '解决', '惩治', '审查']",['预防']
保守国家秘密是我国公民的一项基本义务.,"['正确', '错误']",['正确']
"总体国家安全观关键在“总体”,突出的是“国家”理念.","['正确', '错误']",['错误']
"根据《中华人民共和国国家安全法》规定,国家加强边防、海防和空防建设,采取一切必要的防卫和管控措施,保卫领陆、内水、领海和领空安全,维护国家领土主权和海洋权益.()","['正确', '错误']",['正确']
"()年1月1日,我国首部系统规范反恐怖主义工作的综合性法律《中华人民共和国反恐怖主义法》正式颁布实施,为依法打击恐怖主义活动提供了法律依据.","['2015', '2016', '2017', '2018']",['2016']
"根据《中华人民共和国反间谍法》规定,国家安全机关因反间谍工作需要,按照国家有关规定,可以优先使用或者依法征用机关、团体、企业事业组织和个人的交通工具、通信工具、场地和建筑物,必要时,可以设置相关工作场所和设备、设施,任务完成后应当及时归还或者恢复原状,并依照规定支付相应费用；造成损失的,应当补偿.()","['正确', '错误']",['正确']
"以下选项中,()属于维护国家安全的任务？","['国家坚持中国共产党的领导,维护中国特色社会主义制度', '发展社会主义民主政治,健全社会主义法治', '强化权力运行制约和监督机制,保障人民当家作主的权利', '所有选项']",['所有选项']
"()是人类社会的公敌,是对所有国家和全人类的挑战,严重威胁国际和平与安全,反()是国际社会的共同责任.","['霸权主义', '恐怖主义', '帝国主义', '强权政治']",['恐怖主义']
国家安全机关工作人员依法执行职务受法律保护.,"['正确', '错误']",['正确']
"受理检举、控告的国家安全机关或者有关部门应当及时查清事实,负责处理,并将处理结果及时().","['告知检举人、控告人', '告知被检举人、被控告人户籍所在地公安机关', '予以公示', '以上都不是']",['告知检举人、控告人']
"实施能源消费总量和强度“双控”制度,倒逼经济转型升级.","['正确', '错误']",['正确']
"《反分裂国家法》反的是“台独”分裂势力.该法强调了一个中国原则,明确了台湾问题的性质,主张以和平方式实现国家统一,保留以非和平方式制止分裂国家行为的规定,极大震慑了“台独”分裂势力,为依法维护国家主权和领土完整提供了有力武器.","['正确', '错误']",['正确']
"根据《中华人民共和国国家安全法》规定,国家坚持社会主义先进文化前进方向,继承和弘扬中华民族优秀传统文化,培育和践行社会主义核心价值观,防范和抵制不良文化的影响,掌握意识形态领域主导权,增强文化整体实力和竞争力.()","['正确', '错误']",['正确']
"要坚决贯彻党中央对保密工作的新部署,清醒认识内外部斗争形势给保密工作带来的新风险,主动回答信息化时代给保密工作开出的新命题,有力落实隐蔽战线特殊性给保密工作提出的新要求,坚决下好防范风险先手棋、打好保密工作主动仗.","['正确', '错误']",['错误']
"国家安全机关工作人员依法执行反间谍工作任务时,应当出示国家安全部侦察证或者其他相应证件.","['正确', '错误']",['正确']
"习近平总书记在二十大报告中指出,增强维护国家全能力,就要加强重点领域安全能力建设,确保()、()资源、重要产业链供应链安全.","['粮食能源', '食品能源', '能源粮食', '能源食品']",['粮食能源']
"根据《中华人民共和国国家安全法》规定,国家根据经济社会发展和国家发展利益的需要,不断完善维护国家安全的任务.","['正确', '错误']",['正确']
"根据《中华人民共和国生物安全法》规定,地方各级人民政府对本行政区域内生物安全工作负责.()","['正确', '错误']",['正确']
"()年10月23日,中华人民共和国主席习近平签署中华人民共和国主席令第99号,公布《中华人民共和国陆地国界法》","['2020', '2021', '2022', '2023']",['2021']
在涉重要国家机关、重点科研单位、军事设施和军工企业单位周边安全控制区域内的建设项目以及境外组织机构、个人及外商投资企业投资的建设项目中其涉及国家安全事项许可申请由()受理.,"['国家安全机关', '公安机关', '规划主管部门', '建筑部门']",['国家安全机关']
"以总体国家安全观为指引,我国国家安全得到全面加强,经受住了来自政治、经济、意识形态、自然界等各方面的风险挑战考验,为党和国家兴旺发达、长治久安提供了有力保证.","['正确', '错误']",['正确']
"《反恐怖主义法》反的是全人类公敌.该法明确了恐怖主义的定义,确立了反恐怖工作基本原则,健全了体制机制,强化了安全防范、应对处置、国际合作、法律惩治等措施,为提高反恐怖工作能力和水平、防范和惩治恐怖活动提供了有力法律保障.","['正确', '错误']",['正确']
"法律是治国之重器,良法是善治之前提.六届全国人大常委会第二次会议审议通过(),拉开了国家安全机关法治建设的序幕.","['《全国人民代表大会常务委员会关于国家安全机关行使公安机关的侦查、拘留、预审和执行逮捕的职权的决定》', '《中华人民共和国反间谍法》', '《中国共产党领导国家安全工作条例》', '《中国人民共和国反间谍法》']",['《全国人民代表大会常务委员会关于国家安全机关行使公安机关的侦查、拘留、预审和执行逮捕的职权的决定》']
"党的十九大报告中,习近平总书记指出,国家安全是民族复兴的根基,社会稳定是国家强盛的前提.必须坚定不移贯彻总体国家安全观,把维护国家安全贯穿党和国家工作各方面全过程,确保国家安全和社会稳定.","['正确', '错误']",['错误']
境外势力的渗透、破坏、颠覆、分裂活动不属于破坏国家安全的行为.,"['正确', '错误']",['错误']
学校的国防教育是全民国防教育的基础.,"['正确', '错误']",['正确']
"根据《中华人民共和国国家安全法》规定,国家反对一切形式的恐怖主义和极端主义,加强防范和处置恐怖主义的能力建设,依法开展情报、调查、防范、处置以及资金监管等工作,依法取缔恐怖活动组织和严厉惩治暴力恐怖活动.","['正确', '错误']",['正确']
坚持党对国家安全工作的()领导.,"['绝对', '相对', '唯一', '政治']",['绝对']
每年4月()日是全国国家安全教育日.,"['14', '15', '16', '17']",['15']
国家安全公民举报电话是().,"['12339', '12580', '12345', '12315']",['12339']
"党的十九大报告指出加强(),增强全党全国人民国家安全意识,推动全社会形成维护国家安全的强大合力.","['国家安全教育', '舆论宣传', '法制教育', '司法打击']",['国家安全教育']
以下哪项不属于《国家安全法》明确规定的情报信息在报送时的要求？,"['全面', '及时', '客观', '准确']",['全面']
"国家维护国家()经济制度和社会主义市场经济秩序,健全预防和化解经济安全风险的制度机制,保障关系国民经济命脉的重要行业和关键领域、重点产业、重大基础设施和重大建设项目.","['主要', '根本', '社会', '基本']",['基本']
对非法持有属于国家秘密的文件、资料和其他物品的以及非法持有、使用专用间谍器材的国家安全机关可以依法对其人身、物品、住处和其他有关的地方进行(),"['搜查', '查封', '没收', '销毁']",['搜查']
"国家安全体系由各个重点领域的安全构成,但又具有整体性、总体性.","['正确', '错误']",['正确']
"国家安全是安邦定国的重要基石,维护国家安全是全国各族人民根本利益所在.","['正确', '错误']",['正确']
"贯彻落实总体国家安全观,只需要重视自身安全,即国民安全即可.","['正确', '错误']",['错误']
"根据《中华人民共和国国防法》规定,中华人民共和国奉行防御型国防政策,独立自主、自力更生地建设和巩固国防,实行积极防御,坚持全民国防.","['正确', '错误']",['正确']
"中央指出,要加强保密教育,使保密教育制度化、经常化、规范化,把保密教育纳入普法与各级党校、行政学院和其他干部培训机构的教学内容.","['正确', '错误']",['正确']
贪污国家公款并将资金转向境外不属于《反间谍法》中规定的间谍行为.,"['正确', '错误']",['正确']
"推动创新发展、协调发展、绿色发展、开放发展、共享发展,前提都是国家安全、社会稳定.没有安全和稳定,一切都无从谈起.","['正确', '错误']",['正确']
下列关于公民在反间谍过程中的权利义务说法错误的是(),"['任何个人和组织都不得非法持有、使用间谍活动特殊需要的专用间谍器材', '公民和组织发现间谍行为应当及时向国家安全机关报告', '在国家安全机关调查了解有关间谍行为的情况、收集有关证据时有关组织和个人可以拒绝', '任何公民和组织都应当保守所知悉的有关反间谍工作的国家秘密.']",['在国家安全机关调查了解有关间谍行为的情况、收集有关证据时有关组织和个人可以拒绝']
举办大型国际会议、大型涉外活动时主办或承办单位()向国家安全机关通报.,"['应当事前', '应当事中', '应当事后', '可以事前或事后']",['应当事前']
"根据《中华人民共和国国家安全法》的规定,国家反对一切形式的().","['恐怖主义和极端主义', '霸权主义和极端主义', '霸权主义和民族主义', '民族主义和极端主义']",['恐怖主义和极端主义']
"总体国家安全观承载为实现中华民族伟大复兴提供坚强保障的历史使命,具有鲜明的()特色.","['国际', '近代', '古代', '时代']",['时代']
"在一些重点区域进行建设项目许可,强化涉及国家安全事项的审查,是防范化解国家安全风险的().","['必要手段', '根本途径', '唯一方法', '最终目标']",['必要手段']
"根据我国宪法规定,台湾是中华人民共和国的神圣领土的一部分.完成统一祖国的大业是包括台湾同胞在内的全中国人民的神圣职责.()","['正确', '错误']",['正确']
"12339,是受理个人和组织发现的危害中华人民共和国国家安全的情况线索举报电话.","['正确', '错误']",['正确']
机关、单位确定保密要害部门部位属于法定义务.,"['正确', '错误']",['正确']
"任何个人和组织都不得非法持有属于国家秘密的资料,文件和其他品.","['正确', '错误']",['正确']
国家安全工作归根结底是保障()利益.,"['人民', '公民', '国际', '青少年']",['人民']
区块链技术的风险与安全中最大的问题是数字货币.,"['正确', '错误']",['正确']
《反间谍法》自2014年12月4日起施行.,"['正确', '错误']",['错误']
"在我国境内居住、工作的外国公民,应当按照保密法律法规、根据条约、协定及合同,承担保守我国家秘密的义务.","['正确', '错误']",['正确']
"国家安全工作应当坚持总体国家安全观,以人民安全为(),以政治安全为(),以经济安全为().","['宗旨基础根本', '宗旨根本基础', '根本宗旨基础', '根本基础宗旨']",['宗旨根本基础']
"国家安全是安邦定国的重要基石,是全国各族人民根本利益所在.","['正确', '错误']",['正确']
《党章》总纲部分指出依法坚决打击各种()、危害社会稳定和经济发展的犯罪活动和犯罪分子保持社会长期稳定.,"['危害国家安全和利益', '危害公共安全', '危害社会治安', '危害人民安全']","['危害国家安全和利益', '危害公共安全', '危害社会治安']"
2024年是习近平总书记提出总体国家安全观的第()周年.,"['8', '9', '10', '11']",['10']
《国家安全法》属于宪法及宪法相关法.,"['正确', '错误']",['正确']
绝密级国家秘密载体可按需要携带出境.,"['正确', '错误']",['错误']
"履行国家安全危机管控职责的有关机关依法采取处置国家安全危机的管控措施,应当与国家安全危机可能造成的危害的性质、程度和范围相适应；有多种措施可供选择的,应当选择有利于()的措施.","['最大程度降低损失', '最短时间消除危机', '最大程度保护公民、组织权益', '最大范围保护公民、组织权益']",['最大程度保护公民、组织权益']
"网信、电信、公安、国家平安等主管部门发现某单位网站信息中含有恐惧主义、极端主义内容的信息,应当按照职责分工,及时对该单位采取一定措施,进展处理.以下措施不符合法律规定的是().","['责令该单位停顿传输信息', '责令该单位删除相关信息', '没收该单位所有互联网服务器,停止互联网接入', '责令该单位关闭网站']","['没收该单位所有互联网服务器,停止互联网接入']"
"各级党委政府要把维护()、落实安全责任纳入工作总体规划,做到与改革发展事项同谋划、同部署、同落实.","['国家安全', '生态安全', '经济建设', '生产安全']",['国家安全']
"习近平总书记在二十大报告中指出,增强维护国家安全能力,就要坚定维护国家()安全、()安全、()安全.","['政权制度意识形态', '意识形态政权制度', '制度意识形态政权', '政权意识形态制度']",['政权制度意识形态']
2023年4月15日是第七个全民国家安全教育日.,"['正确', '错误']",['错误']
"()根据宪法和法律,制定涉及国家安全的行政法规,规定有关行政措施,发布有关决定和命令.","['政府', '最高人民法院', '国务院', '人民检察院']",['国务院']
"维护经济安全,核心是坚持()不动摇,不断完善社会主义市场经济体制,坚持发展是硬道理,不断提高国家的经济整体实力、竞争力和抵御内外各种冲击与威胁的能力,重点防范好各种重大风险挑战,保护国家根本利益不受伤害.","['社会主义基本经济制度', '社会主义制度', '基层群众自治制度', '党的领导制度']",['社会主义基本经济制度']
"犯间谍罪后有重大立功表现的,().","['给予奖励', '免除处罚', '从轻、减轻处罚', '以上都不是']",['给予奖励']
"国土安全是立国之基,是传统安全备受关注的()方面.","['首要', '次要', '主要', '重要']",['首要']
"()是指竖立在陆地国界上或者陆地国界两侧,在实地标示陆地国界走向,且其地理坐标已测定并记载于勘界条约或者联合检查条约中的标志,包括基本界标、辅助界标、导标和浮标等.","['路标', '地标', '界标', '界碑']",['界标']
党的十九届四中全会审议通过的《中共中央关于坚持和完善中国特色社会主义制度、推进国家治理体系和治理能力现代化若干重大问题的决定》指出坚持总体国家安全观统筹发展和安全坚持()有机统一.,"['经济安全、政治安全、社会安全', '人民安全、政治安全、国家利益至上', '国家主权、安全、发展利益', '人民安全、政权安全、发展利益至上']",['人民安全、政治安全、国家利益至上']
"总体国家安全观关键在“()”,强调“大安全”理念,涵盖政治、军事、国土、经济、文化、网络、生物等诸多领域,并随着社会发展不断拓展.","['总体', '国家', '安全', '人民']",['总体']
"新时代新征程,国家安全机关将坚持以()为指导,牢固树立总体国家安全观,时刻绷紧反恐怖斗争这根弦,坚决打赢反恐怖斗争硬仗,坚决维护国家安全,坚定促进国际共同安全,全力维护社会安定,切实保障人民安宁.","['邓小平思想', '马克思主义', '习近平新时代社会主义思想', '毛泽东思想']",['习近平新时代社会主义思想']
"任何单位和个人发现宣扬极端主义的物品、资料、信息的,应当立即向()报告.","['国家安全机关', '公安机关', '中国人民解放军', '武警机关']",['公安机关']
"2021年9月,中国发起《全球数据安全倡议》,积极参与全球互联网治理进程,为网络空间国际治理贡献中国方案.","['正确', '错误']",['错误']
"2018年6月,《中华人民共和国网络安全法》实施,全面规范网络空间安全管理,维护网络空间主权和国家安全.","['正确', '错误']",['错误']
"勾结外国,危害中华人民共和国的主权、领土完整和安全的,构成背叛国家罪.","['正确', '错误']",['正确']
"维护国家安全,根本上是为了(),更好地满足人民对美好生活的需要.国家制定和实施安全战略,国家的政治、军事乃至环境政策在很大程度上都是以此中心,没有它的安全,文化、教育、社会等领域的安全也就无从谈起.","['发展经济', '稳定民生', '安定社会', '促进发展']",['发展经济']
"A与B为父子关系,B因涉嫌从事危害国家安全犯罪被拘留国家安全机关向A调査情况及收集相关证据时,A拒绝提供.对于A的行为下列说法正确的是().","['不受追究', '情节严重的追究刑事责任', '可处二十日拘留', '由所在单位予以行政处罚']",['情节严重的追究刑事责任']
"发现有人盗窃、抢夺属于国家秘密的文件、资料和其他物品,有权制止,并应当立即报告.","['正确', '错误']",['正确']
"根据《中华人民共和国数据安全法》规定,各地区、各部门应当按照数据分类分级保护制度,确定本地区、本部门以及相关行业、领域的重要数据具体目录,对列入目录的数据进行优先保护.","['正确', '错误']",['错误']
"在微信朋友圈晒照片时,以下选项中,()可能会危害国家安全和利益？","['发表心情', '发表旅游见闻', '晒出国旅游照片', '晒军事基地照片']",['晒军事基地照片']
"改革开放以来,我们党始终高度重视正确处理改革发展稳定关系,始终把维护国家安全和()作为党和国家的一项基础性工作.","['经济增长', '世界和平', '人民利益', '社会安定']",['社会安定']
"2015年12月27日,第()届全国人大常委会决定将反恐纳入国家安全战略.","['九', '十', '十一', '十二']",['十二']
"“中华人民共和国的武装力量受中国共产党的领导”,是我国()规定的.","['宪法', '国防法', '兵役法', '国家安全法']",['国防法']
"《反恐怖主义法》规定,铁路、公路、水上、航空的货运和邮政、快递等物流运营单位应当实行(),对客户身份进行查验,依照规定对运输、寄递物品进行安全检查或者开封验视.对禁止运输、寄递,存在重大安全隐患,或者客户拒绝安全查验的物品,不得运输、寄递.","['安全检查制度', '安全查验制度', '安全监督制度', '安全抽检制度']",['安全查验制度']
"根据《中华人民共和国反分裂国家法》规定,坚持一个中国原则,是实现祖国和平统一的基础.()","['正确', '错误']",['正确']
"5月30日,习近平总书记主持召开二十届中央国家安全委员会第一次会议时强调,要全面贯彻党的()大精神,深刻认识国家安全面临的复杂严峻形势,正确把握重大国家安全问题,加快推进国家安全体系和能力现代化,以新安全格局保障新发展格局,努力开创国家安全工作新局面.","['十九', '二十', '十八', '十七']",['二十']
新的《中华人民共和国国家安全法》于()经全国人大常委会审议通过并由国家主席习近平签署第29号主席令予以公布.,"['44927', '42186', '34022', '45231']",['42186']
"以下选项中,()属于维护国家安全的工作体系？","['国民安全', '领土安全', '主权安全', '所有选项']",['所有选项']
"只有坚持群众路线,才能保证国家安全决策的科学性,才能将国家安全决策转化为()的实践力量.","['人民群众', '中国共产党', '中国人民解放军', '国家公职人员']",['人民群众']
"2020年12月11日习近平总书记在主持中央政治局第二十六次集体学习时发表重要讲话,强调加强国家安全战线党的建设,坚持以()为统领打造坚不可摧的国家安全干部队伍.","['政治建设', '纪律建设', '文化建设', '作风建设']",['政治建设']
()有协助、配合有关部门开展反恐怖主义工作的义务.,"['人民检察院、人民法院、司法行政机关', '中国人民解放军、中国人民武装警察部队和民兵组织', '任何单位和个人', '任何组织和单位']",['任何单位和个人']
"根据《中华人民共和国国家安全法》规定,维护国家安全,应当遵守宪法和法律,坚持()原则,尊重和保障人权,依法保护公民的权利和自由.","['公平正义', '社会主义法治', '民主自由', '以人民为中心']",['社会主义法治']
"以下选项中,()符合维护国家安全的要求？","['遵守宪法和法律,坚持社会主义法治原则', '尊重和保障人权', '依法保护公民的权利和自由', '以上都是']",['以上都是']
"科技安全是指科技体系(),国家重点领城核心技术安全可控,国家核心利益和安全不受外部科技优势危害,以及保障持续安全状态的能力.","['安全有效', '安全', '完整有效', '完整']",['完整有效']
"下列选项中,属于我国航空母舰的是().","['辽宁舰', '山东舰', '福建舰', '以上都是']",['以上都是']
为境外的机构、组织、人员窃取、刺探、收买、非法提供国家秘密或者情报对国家和人民危害特别严重情节特别恶劣的可以判处(),"['死刑', '五年以上十年以下有期徒刑', '十年以上有期徒刑', '无期徒刑']",['死刑']
"()领导全国武装力量,决定军事战略和武装力量的作战方针,统一指挥维护国家安全的军事行动,制定涉及国家安全的军事法规,发布有关决定和命令.","['中央军事委员会', '国务院', '中华人民共和国主席', '全国人民代表大会']",['中央军事委员会']
"在紧急情况下,中华人民共和国主席可以决定全国或者个别省、自治区、直辖市进入紧急状态.","['正确', '错误']",['错误']
"2020年12月26日,中华人民共和国第十三届全国人民代表大会常务委员会第二十四次会议修订通过《中华人民共和国国防法》,自()年1月1日起施行.","['2021', '2022', '2023', '2024']",['2021']
"国家安全机关执行反间谍工作紧急任务的车辆,可以配置警灯、警报器和特别通行标志.","['正确', '错误']",['正确']
国家安全机关的工作人员依法执行国家安全工作任务时经出示相应证件有权()中国公民或者境外人员的身份证明.,"['公开', '查验', '销毁', '扣押']",['查验']
国防是国家生存与发展的安全保障.,"['正确', '错误']",['正确']
"习近平总书记在二十大报告中指出,提高公共安全治理水平,就要坚持()第一,()为主,建立大安全大应急框架,完善公共安全体系,推动公共安全治理模式向事前预防转型.","['预防安全', '安全预防', '安全防御', '防御安全']",['安全预防']
"习近平总书记化用“志不求易,事不避难”意在强调今天的我们不但要“志不求易”,而且要“成”;不但要“事不避难”,而且要“进”.我们要辩证认识和把握国内外大势坚持底线思维、增强忧患意识,有效防范和化解前进道路上的各种风险,善于在危机中育新机、于变局中开新局.","['正确', '错误']",['正确']
新时期的国家安全战略将()和内部安全置于同等地位.,"['政治安全', '经济安全', '社会安全', '外部安全']",['外部安全']
任何公民和组织都应当保守所知悉的有关反间谍工作的(),"['国家秘密', '个人隐私', '个人秘密', '商业秘密']",['国家秘密']
"国防观念是保卫国家安全、履行国防义务的思想意识,又是人们对保障国家安全和发展所采取防务措施的思想观点的统称,是维护国家安危和民族兴衰的重要精神因素.它的内容包括().","['国家利益高于一切', '居安思危,爱军习武', '保卫祖国,勇敢奋战', '以上都是']",['以上都是']
中华人民共和国的武装力量受中国共产党的领导.,"['正确', '错误']",['正确']
"中国要在世界变局中立于不败之地,还在于能够敏锐洞察世界政治的走势,坚定站在历史正确的一边,以更广泛的国际合作牵引大国关系的发展方向,塑造有利战略态势,实现日益()条件下的国家安全.","['独立', '开放', '强盛', '和平']",['开放']
任何公民和组织都应当保守所知悉的有关反间谍工作的().,"['国家秘密', '个人隐私', '个人秘密', '商业秘密']",['国家秘密']
海外安全保卫是党和国家赋予国家安全机关的一项重要职能.,"['正确', '错误']",['正确']
"国家安全机关突出实战实用鲜明导向,全力防范化解海外中国公民、机构、企业面临的各类安全风险,全面提升处置海外突发事件能力水平,形成了富有新时代地方特色的海外利益保护工作模式.","['正确', '错误']",['错误']
"习近平总书记在二十大报告中指出,推进国家安全体系和能力现代化,坚决维护国家安全和社会稳定,就要().","['健全国家安全体系', '增强维护国家安全能力', '提高公共安全治理水平', '以上都是']",['以上都是']
中央国家安全委员会在()年成立.,"['2012', '2013', '2014', '2015']",['2013']
"习近平总书记在二十大报告中指出,完善社会治理体系,就要发展壮大群防群治力量,营造见义勇为社会氛围,建设()、()、()的社会治理共同体.","['人人有责', '人人尽责', '人人享有', '以上都是']",['以上都是']
国家对在维护国家安全工作中作出突出贡献的个人和组织给予表彰和奖励.,"['正确', '错误']",['正确']
国家安全法由()公布.,"['习近平主席签发中华人民共和国主席令', '李克强总理签发中华人民共和国国务院令', '李兆宗局长签发国家保密局令', '全国人大常委会']",['习近平主席签发中华人民共和国主席令']
习近平总书记参加第()次全国人民防空会议指出：把人民防空纳入十三五规划.,"['五', '六', '七', '八']",['七']
"反间谍工作应当(),尊重和保障人权,保障公民和组织的合法权益.","['从严从重', '依法进行', '严格审批', '依据实情']",['依法进行']
"可以填写境外人员发放的各种调查表,或替他们撰写社会调查方面的文章.","['正确', '错误']",['错误']
"《国家安全法》是一部具有综合性、全局性、基础性的重要法律,在国家安全法律制度体系中起统领作用.","['正确', '错误']",['正确']
"涉及国家安全事项的建设项目行政许可制度具有科学完备的法律体系,国家()机关是这项制度的实施主体,依照《中华人民共和国行政许可法》及相关法律法规履职,并接受监督.","['行政', '司法', '监察', '安全']",['安全']
"若发现危害国家安全的犯罪行为,可进行电话举报,线上举报和实地举报等举报方式.","['正确', '错误']",['正确']
"维护国家文化安全,必须坚持社会主义先进文化前进方向,坚持以()为中心的工作导向,坚定文化自信,增强文化自觉,加快文化改革发展,加强社会主义精神文明建设,建设社会主义文化强国.","['传统文化', '社会主义先进文化', '经济建设', '人民']",['人民']
"维护国家安全,应当坚持(),专门工作与群众路线相结合,充分发挥专门机关和其它有关机关维护国家安全的职能作用,广泛动员公民和组织,防范、制止和依法惩治危害国家安全的行为.","['预防为主、标本兼治', '安全第一、内外兼顾', '强化监督、分级管控', '预防为主,内外兼治']",['预防为主、标本兼治']
我国将粮食安全定义为：保证任何人在任何时候都能够得到为了生存和健康所需要的足够食品.,"['正确', '错误']",['错误']
国安干警队伍是国家安全机关的战略资源、战力之源.,"['正确', '错误']",['正确']
"依据《中华人民共和国国防法》规定,国家依照宪法规定宣布战争状态,采取各种措施集中人力、物力和财力,领导人民军队保卫祖国、抵抗侵略.()","['正确', '错误']",['错误']
"总体国家安全观是习近平总书记在中央国家安全委员会第一次全体会议上首次提出的,是习近平新时代中国特色社会主义思想的重要内容.国家安全工作的根本出发点和落脚点是().","['捍卫国家利益', '维护人民安全', '保持国家稳定', '建设美好家园']",['维护人民安全']
"涉密人员脱密期满后,可以不再履行保密责任和义务.","['正确', '错误']",['错误']
"2020年12月11日习近平总书记在主持中央政治局第二十六次集体学习时发表重要讲话强调坚持统筹发展和安全坚持发展和安全(),实现高质量发展和高水平安全的良性互动.","['并重', '同步', '协调', '兼顾']",['并重']
"明知他人有间谍犯罪行为,在国家安全机关向其调查有关情况、收集有关证据时,拒绝提供的,由其所在单位或者上级主管部门予以行政处分,或者由国家安全机关().","['予以行政处分', '予以警告', '处15日以下拘留', '予以刑事处罚']",['处15日以下拘留']
以下哪个选项不是总体国家安全观的重要特征.,"['整体性', '全面性', '系统性', '持续性']",['整体性']
"中国积极推动国际核安全合作,打击核窃密、核走私,有力维护核安全,普及核安全知识,凝聚起维护国家安全的强大“核”力.","['正确', '错误']",['正确']
"国泰民安是人民群众最基本、最普遍的愿望.实现中华民族伟大复兴的中国梦,保证人民安居乐业,国家安全是头等大事.","['正确', '错误']",['正确']
"国家安全机关属于政府组成部门,人员为警察编制,公务员序列,其执行国家安全工作任务的车辆享有与()相同的道路通行权.","['制式警车', '政府公务车', '消防车', '救护车']",['制式警车']
"《反间谍法》中指出,间谍组织和间谍组织代理人由()确认.","['公安机关', '国务院国家安全主管部门', '国务院总理', '全国人民代表大会']",['国务院国家安全主管部门']
"涉密人员是指掌握,知悉和管理国家秘密的人员.","['正确', '错误']",['正确']
"如果发现他人私自拍摄敏感军事装备、传播敏感军事装备信息和军事活动信息等违法行为及相关可疑情况,请及时通过12339举报受理电话、网络举报平台(www.12339.gov.cn)、国家安全部微信公众号举报受理渠道或者直接向当地国家安全机关进行举报,配合协助开展调查取证.","['正确', '错误']",['正确']
"在国家安全机关调查了解有关间谍行为的情况、收集有关证据时,有关组织和个人应当酌情说明.","['正确', '错误']",['错误']
"根据《中华人民共和国国家安全法》规定,国家依法采取必要措施,保护海外中国公民、组织和机构的安全和正当权益,保护国家的海外利益不受威胁和侵害.","['正确', '错误']",['正确']
2022年4月15日是第七个“全民国家安全教育日”.,"['正确', '错误']",['正确']
我国首份指导国家安全工作的纲领性文件是《国家安全战略纲要》.,"['正确', '错误']",['正确']
"网络安全和信息化是一体之两翼、驱动之双轮,必须统一谋划、统一部署、统一推进、统一实施.","['正确', '错误']",['正确']
"()年7月1日,第十二届全国人民代表大会常务委员会第十五次会议通过新的国家安全法.","['2013', '2014', '2015', '2016']",['2015']
